response,reaction_time,block,which_phase,stim,stop_signal_trial_type,stop_signal_stimulus,SSD,SSD_type,condition,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
2,488.0,1,phase_2,blue_circle,go,,,,go-1,1,,,,,,
2,441.0,1,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,338.0,1,phase_2,blue_pentagon,go,,,,go-1,1,,,,,,
2,448.0,1,phase_2,green_rhombus,go,,,,go-2,2,,,,,,
2,593.0,1,phase_2,green_pentagon,stop,red,250.0,tracking-SSD,go-2,3,,,,,,
2,511.0,1,phase_2,blue_circle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,green_pentagon,stop,purple,0.0,0-SSD,go-2,4,,,,,,
2,508.0,1,phase_2,blue_circle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,blue_circle,stop,purple,0.0,0-SSD,go-1,4,,,,,,
0,0,1,phase_2,green_circle,stop,purple,0.0,0-SSD,go-2,4,,,,,,
1,477.0,1,phase_2,blue_triangle,go,,,,go-1,1,,,,,,
0,0,1,phase_2,green_triangle,stop,purple,0.0,0-SSD,go-2,4,,,,,,
1,394.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
2,854.0,1,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
2,423.0,1,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
2,409.0,1,phase_2,blue_rhombus,go,,,,go-1,2,,,,,,
0,0,1,phase_2,green_rhombus,stop,purple,0.0,0-SSD,go-2,4,,,,,,
2,575.0,1,phase_2,blue_circle,go,,,,go-1,1,,,,,,
1,775.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
0,0,1,phase_2,blue_circle,stop,red,200.0,tracking-SSD,go-1,4,,,,,,
2,545.0,1,phase_2,blue_pentagon,go,,,,go-1,1,,,,,,
2,475.0,1,phase_2,green_circle,stop,red,250.0,tracking-SSD,go-2,3,,,,,,
0,0,1,phase_2,blue_triangle,stop,purple,0.0,0-SSD,go-1,4,,,,,,
0,0,1,phase_2,blue_triangle,stop,purple,0.0,0-SSD,go-1,4,,,,,,
0,0,1,phase_2,green_rhombus,stop,red,200.0,tracking-SSD,go-2,4,,,,,,
1,633.0,1,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,362.0,1,phase_2,blue_rhombus,stop,red,250.0,tracking-SSD,go-1,3,,,,,,
0,0,1,phase_2,blue_rhombus,stop,red,200.0,tracking-SSD,go-1,4,,,,,,
1,480.0,1,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,466.0,1,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,342.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,419.0,1,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,506.0,1,phase_2,blue_pentagon,go,,,,go-1,2,,,,,,
2,469.0,1,phase_2,blue_pentagon,go,,,,go-1,1,,,,,,
2,423.0,1,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,477.0,1,phase_2,blue_triangle,go,,,,go-1,1,,,,,,
2,384.0,1,phase_2,blue_pentagon,go,,,,go-1,1,,,,,,
0,0,1,phase_2,blue_rhombus,stop,purple,0.0,0-SSD,go-1,4,,,,,,
2,425.0,1,phase_2,blue_pentagon,go,,,,go-1,1,,,,,,
2,569.0,1,phase_2,blue_circle,go,,,,go-1,1,,,,,,
1,410.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,587.0,1,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
2,450.0,1,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
2,414.0,1,phase_2,blue_circle,stop,red,250.0,tracking-SSD,go-1,3,,,,,,
2,345.0,1,phase_2,blue_circle,go,,,,go-1,1,,,,,,
1,489.0,1,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,453.0,1,phase_2,blue_triangle,go,,,,go-1,1,,,,,,
1,418.0,1,phase_2,green_triangle,stop,red,200.0,tracking-SSD,go-2,3,,,,,,
1,757.0,2,phase_2,blue_rhombus,go,,,,go-1,1,,,,,,
0,0,2,phase_2,green_pentagon,stop,purple,0.0,0-SSD,go-2,4,,,,,,
2,1034.0,2,phase_2,blue_pentagon,go,,,,go-1,1,,,,,,
1,514.0,2,phase_2,blue_triangle,go,,,,go-1,1,,,,,,
0,0,2,phase_2,blue_triangle,stop,purple,0.0,0-SSD,go-1,4,,,,,,
0,0,2,phase_2,green_circle,stop,red,150.0,tracking-SSD,go-2,4,,,,,,
2,530.0,2,phase_2,green_circle,go,,,,go-2,1,,,,,,
2,415.0,2,phase_2,blue_circle,go,,,,go-1,1,,,,,,
2,603.0,2,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
1,500.0,2,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,611.0,2,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
0,0,2,phase_2,blue_pentagon,stop,red,200.0,tracking-SSD,go-1,4,,,,,,
1,989.0,2,phase_2,blue_triangle,go,,,,go-1,1,,,,,,
2,413.0,2,phase_2,blue_circle,go,,,,go-1,1,,,,,,
2,839.0,2,phase_2,green_pentagon,go,,,,go-2,1,,,,,,
2,554.0,2,phase_2,blue_circle,go,,,,go-1,1,,,,,,
1,710.0,2,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
2,473.0,2,phase_2,green_circle,go,,,,go-2,1,,,,,,
0,0,2,phase_2,blue_rhombus,stop,red,250.0,tracking-SSD,go-1,4,,,,,,
0,0,2,phase_2,blue_rhombus,stop,purple,0.0,0-SSD,go-1,4,,,,,,
0,0,2,phase_2,blue_rhombus,stop,purple,0.0,0-SSD,go-1,4,,,,,,
2,496.0,2,phase_2,green_circle,go,,,,go-2,1,,,,,,
1,641.0,2,phase_2,green_rhombus,go,,,,go-2,1,,,,,,
1,525.0,2,phase_2,blue_triangle,go,,,,go-1,1,,,,,,
1,400.0,2,phase_2,green_triangle,go,,,,go-2,1,,,,,,
1,567.0,2,phase_2,blue_triangle,go,,,,go-1,1,,,,,,
1,475.0,2,phase_2,blue_triangle,go,,,,go-1,1,,,,,,
2,474.0,2,phase_2,green_circle,go,,,,go-2,1,,,,,,
