response,reaction_time,block,which_phase,stim,go_nogo_type,accuracy,chosen_stim,chosen_cond,stim_left,cond_left,stim_right,cond_right
1,555.0,1,phase_2,blue_rhombus,go2,1,,,,,,
1,376.0,1,phase_2,green_triangle,go1,1,,,,,,
0,0,1,phase_2,red_circle,nogo2,4,,,,,,
1,469.0,1,phase_2,blue_rhombus,go2,1,,,,,,
1,470.0,1,phase_2,blue_rhombus,go2,1,,,,,,
1,461.0,1,phase_2,blue_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo1,4,,,,,,
1,463.0,1,phase_2,blue_rhombus,go2,1,,,,,,
1,443.0,1,phase_2,blue_rhombus,go2,1,,,,,,
0,0,1,phase_2,red_circle,nogo2,4,,,,,,
1,480.0,1,phase_2,green_triangle,go1,1,,,,,,
1,515.0,1,phase_2,green_triangle,go1,1,,,,,,
1,426.0,1,phase_2,blue_rhombus,go2,1,,,,,,
1,516.0,1,phase_2,green_triangle,go1,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,1,phase_2,red_circle,nogo2,4,,,,,,
1,509.0,1,phase_2,blue_rhombus,go2,1,,,,,,
0,0,1,phase_2,red_circle,nogo2,4,,,,,,
0,0,1,phase_2,red_circle,nogo2,4,,,,,,
0,0,1,phase_2,green_triangle,go1,5,,,,,,
1,425.0,1,phase_2,purple_pentagon,nogo1,2,,,,,,
0,0,1,phase_2,purple_pentagon,nogo1,4,,,,,,
1,404.0,1,phase_2,green_triangle,go1,1,,,,,,
0,0,1,phase_2,red_circle,nogo2,4,,,,,,
1,417.0,1,phase_2,green_triangle,go1,1,,,,,,
1,508.0,1,phase_2,blue_rhombus,go2,1,,,,,,
1,745.0,1,phase_2,blue_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo1,4,,,,,,
1,367.0,1,phase_2,green_triangle,go1,1,,,,,,
1,426.0,1,phase_2,green_triangle,go1,1,,,,,,
1,370.0,1,phase_2,blue_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo1,4,,,,,,
1,430.0,1,phase_2,green_triangle,go1,1,,,,,,
1,487.0,1,phase_2,blue_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo1,4,,,,,,
1,647.0,1,phase_2,blue_rhombus,go2,1,,,,,,
1,423.0,1,phase_2,green_triangle,go1,1,,,,,,
1,492.0,1,phase_2,green_triangle,go1,1,,,,,,
1,369.0,1,phase_2,green_triangle,go1,1,,,,,,
0,0,1,phase_2,red_circle,nogo2,4,,,,,,
1,440.0,1,phase_2,green_triangle,go1,1,,,,,,
1,385.0,1,phase_2,green_triangle,go1,1,,,,,,
1,319.0,1,phase_2,green_triangle,go1,1,,,,,,
1,444.0,1,phase_2,blue_rhombus,go2,1,,,,,,
0,0,1,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,1,phase_2,red_circle,nogo2,4,,,,,,
1,639.0,1,phase_2,blue_rhombus,go2,1,,,,,,
1,597.0,1,phase_2,blue_rhombus,go2,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,2,phase_2,purple_pentagon,nogo1,4,,,,,,
1,603.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,525.0,2,phase_2,green_triangle,go1,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,2,phase_2,purple_pentagon,nogo1,4,,,,,,
1,507.0,2,phase_2,green_triangle,go1,1,,,,,,
1,396.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,454.0,2,phase_2,green_triangle,go1,1,,,,,,
1,556.0,2,phase_2,green_triangle,go1,1,,,,,,
1,412.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,368.0,2,phase_2,green_triangle,go1,1,,,,,,
1,370.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,348.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,408.0,2,phase_2,green_triangle,go1,1,,,,,,
1,318.0,2,phase_2,green_triangle,go1,1,,,,,,
0,0,2,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,2,phase_2,red_circle,nogo2,4,,,,,,
0,0,2,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,2,phase_2,red_circle,nogo2,4,,,,,,
1,492.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,368.0,2,phase_2,green_triangle,go1,1,,,,,,
1,371.0,2,phase_2,green_triangle,go1,1,,,,,,
1,406.0,2,phase_2,green_triangle,go1,1,,,,,,
0,0,2,phase_2,red_circle,nogo2,4,,,,,,
1,490.0,2,phase_2,blue_rhombus,go2,1,,,,,,
0,0,2,phase_2,red_circle,nogo2,4,,,,,,
0,0,2,phase_2,purple_pentagon,nogo1,4,,,,,,
1,362.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,432.0,2,phase_2,green_triangle,go1,1,,,,,,
1,433.0,2,phase_2,green_triangle,go1,1,,,,,,
1,278.0,2,phase_2,blue_rhombus,go2,1,,,,,,
0,0,2,phase_2,red_circle,nogo2,4,,,,,,
1,397.0,2,phase_2,green_triangle,go1,1,,,,,,
0,0,2,phase_2,red_circle,nogo2,4,,,,,,
0,0,2,phase_2,purple_pentagon,nogo1,4,,,,,,
1,505.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,553.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,364.0,2,phase_2,green_triangle,go1,1,,,,,,
1,456.0,2,phase_2,green_triangle,go1,1,,,,,,
1,412.0,2,phase_2,blue_rhombus,go2,1,,,,,,
0,0,2,phase_2,red_circle,nogo2,4,,,,,,
1,494.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,360.0,2,phase_2,green_triangle,go1,1,,,,,,
1,384.0,2,phase_2,blue_rhombus,go2,1,,,,,,
0,0,2,phase_2,red_circle,nogo2,4,,,,,,
1,487.0,2,phase_2,blue_rhombus,go2,1,,,,,,
1,467.0,2,phase_2,blue_rhombus,go2,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo1,4,,,,,,
1,342.0,3,phase_2,green_triangle,go1,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo1,4,,,,,,
1,344.0,3,phase_2,green_triangle,go1,1,,,,,,
1,368.0,3,phase_2,blue_rhombus,go2,1,,,,,,
0,0,3,phase_2,red_circle,nogo2,4,,,,,,
0,0,3,phase_2,red_circle,nogo2,4,,,,,,
1,521.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,533.0,3,phase_2,green_triangle,go1,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,3,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,3,phase_2,red_circle,nogo2,4,,,,,,
1,460.0,3,phase_2,blue_rhombus,go2,1,,,,,,
0,0,3,phase_2,red_circle,nogo2,4,,,,,,
1,462.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,372.0,3,phase_2,green_triangle,go1,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo1,4,,,,,,
1,387.0,3,phase_2,green_triangle,go1,1,,,,,,
1,310.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,310.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,334.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,313.0,3,phase_2,red_circle,nogo2,2,,,,,,
1,416.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,462.0,3,phase_2,green_triangle,go1,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo1,4,,,,,,
1,375.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,420.0,3,phase_2,blue_rhombus,go2,1,,,,,,
0,0,3,phase_2,red_circle,nogo2,4,,,,,,
1,378.0,3,phase_2,green_triangle,go1,1,,,,,,
1,335.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,391.0,3,phase_2,green_triangle,go1,1,,,,,,
1,369.0,3,phase_2,green_triangle,go1,1,,,,,,
1,462.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,408.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,386.0,3,phase_2,green_triangle,go1,1,,,,,,
0,0,3,phase_2,purple_pentagon,nogo1,4,,,,,,
1,434.0,3,phase_2,purple_pentagon,nogo1,2,,,,,,
1,412.0,3,phase_2,blue_rhombus,go2,1,,,,,,
1,414.0,3,phase_2,green_triangle,go1,1,,,,,,
1,404.0,3,phase_2,green_triangle,go1,1,,,,,,
0,0,3,phase_2,red_circle,nogo2,4,,,,,,
1,396.0,3,phase_2,green_triangle,go1,1,,,,,,
1,429.0,3,phase_2,green_triangle,go1,1,,,,,,
1,364.0,3,phase_2,green_triangle,go1,1,,,,,,
1,422.0,3,phase_2,green_triangle,go1,1,,,,,,
1,570.0,3,phase_2,blue_rhombus,go2,1,,,,,,
0,0,3,phase_2,red_circle,nogo2,4,,,,,,
1,516.0,3,phase_2,blue_rhombus,go2,1,,,,,,
0,0,4,phase_2,red_circle,nogo2,4,,,,,,
1,533.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,390.0,4,phase_2,green_triangle,go1,1,,,,,,
0,0,4,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,4,phase_2,purple_pentagon,nogo1,4,,,,,,
1,372.0,4,phase_2,green_triangle,go1,1,,,,,,
0,0,4,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,4,phase_2,red_circle,nogo2,4,,,,,,
1,443.0,4,phase_2,green_triangle,go1,1,,,,,,
1,658.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,378.0,4,phase_2,green_triangle,go1,1,,,,,,
1,458.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,370.0,4,phase_2,green_triangle,go1,1,,,,,,
0,0,4,phase_2,red_circle,nogo2,4,,,,,,
1,338.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,317.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,398.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,343.0,4,phase_2,green_triangle,go1,1,,,,,,
1,367.0,4,phase_2,green_triangle,go1,1,,,,,,
1,402.0,4,phase_2,blue_rhombus,go2,1,,,,,,
0,0,4,phase_2,red_circle,nogo2,4,,,,,,
1,372.0,4,phase_2,green_triangle,go1,1,,,,,,
0,0,4,phase_2,purple_pentagon,nogo1,4,,,,,,
1,319.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,398.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,354.0,4,phase_2,red_circle,nogo2,2,,,,,,
1,334.0,4,phase_2,green_triangle,go1,1,,,,,,
1,358.0,4,phase_2,green_triangle,go1,1,,,,,,
1,438.0,4,phase_2,green_triangle,go1,1,,,,,,
0,0,4,phase_2,purple_pentagon,nogo1,4,,,,,,
1,408.0,4,phase_2,blue_rhombus,go2,1,,,,,,
0,0,4,phase_2,red_circle,nogo2,4,,,,,,
1,365.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,535.0,4,phase_2,green_triangle,go1,1,,,,,,
0,0,4,phase_2,purple_pentagon,nogo1,4,,,,,,
1,381.0,4,phase_2,green_triangle,go1,1,,,,,,
1,394.0,4,phase_2,green_triangle,go1,1,,,,,,
1,360.0,4,phase_2,green_triangle,go1,1,,,,,,
1,363.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,353.0,4,phase_2,green_triangle,go1,1,,,,,,
0,0,4,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,4,phase_2,red_circle,nogo2,4,,,,,,
1,379.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,425.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,438.0,4,phase_2,blue_rhombus,go2,1,,,,,,
1,418.0,4,phase_2,blue_rhombus,go2,1,,,,,,
0,0,4,phase_2,red_circle,nogo2,4,,,,,,
0,0,4,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,5,phase_2,purple_pentagon,nogo1,4,,,,,,
1,343.0,5,phase_2,green_triangle,go1,1,,,,,,
1,558.0,5,phase_2,blue_rhombus,go2,1,,,,,,
1,402.0,5,phase_2,blue_rhombus,go2,1,,,,,,
1,381.0,5,phase_2,blue_rhombus,go2,1,,,,,,
1,347.0,5,phase_2,green_triangle,go1,1,,,,,,
1,371.0,5,phase_2,green_triangle,go1,1,,,,,,
1,340.0,5,phase_2,green_triangle,go1,1,,,,,,
1,387.0,5,phase_2,green_triangle,go1,1,,,,,,
0,0,5,phase_2,purple_pentagon,nogo1,4,,,,,,
1,613.0,5,phase_2,blue_rhombus,go2,1,,,,,,
1,492.0,5,phase_2,blue_rhombus,go2,1,,,,,,
1,393.0,5,phase_2,blue_rhombus,go2,1,,,,,,
1,349.0,5,phase_2,green_triangle,go1,1,,,,,,
0,0,5,phase_2,red_circle,nogo2,4,,,,,,
0,0,5,phase_2,red_circle,nogo2,4,,,,,,
1,420.0,5,phase_2,green_triangle,go1,1,,,,,,
0,0,5,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,5,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,5,phase_2,red_circle,nogo2,4,,,,,,
1,370.0,5,phase_2,blue_rhombus,go2,1,,,,,,
0,0,5,phase_2,purple_pentagon,nogo1,4,,,,,,
1,339.0,5,phase_2,blue_rhombus,go2,1,,,,,,
0,0,5,phase_2,red_circle,nogo2,4,,,,,,
1,512.0,5,phase_2,green_triangle,go1,1,,,,,,
1,433.0,5,phase_2,blue_rhombus,go2,1,,,,,,
0,0,5,phase_2,red_circle,nogo2,4,,,,,,
1,458.0,5,phase_2,blue_rhombus,go2,1,,,,,,
0,0,5,phase_2,red_circle,nogo2,4,,,,,,
1,371.0,5,phase_2,blue_rhombus,go2,1,,,,,,
1,472.0,5,phase_2,blue_rhombus,go2,1,,,,,,
1,384.0,5,phase_2,blue_rhombus,go2,1,,,,,,
0,0,5,phase_2,purple_pentagon,nogo1,4,,,,,,
1,399.0,5,phase_2,blue_rhombus,go2,1,,,,,,
1,447.0,5,phase_2,green_triangle,go1,1,,,,,,
0,0,5,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,5,phase_2,red_circle,nogo2,4,,,,,,
0,0,5,phase_2,purple_pentagon,nogo1,4,,,,,,
0,0,5,phase_2,red_circle,nogo2,4,,,,,,
1,453.0,5,phase_2,green_triangle,go1,1,,,,,,
1,544.0,5,phase_2,green_triangle,go1,1,,,,,,
1,411.0,5,phase_2,green_triangle,go1,1,,,,,,
1,356.0,5,phase_2,green_triangle,go1,1,,,,,,
1,368.0,5,phase_2,blue_rhombus,go2,1,,,,,,
