stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
2.0,0,1.0,1.0,584.422111511,1.0,part_1,,,,,,,,,,,,,gray,hexagon
2.0,1,1.0,1.0,351.155996323,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,1,3.0,3.0,350.859880447,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,1,2.0,2.0,317.800998688,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,0,3.0,3.0,317.779779434,1.0,part_1,,,,,,,,,,,,,gray,hexagon
0.5,0,4.0,4.0,333.686113358,1.0,part_1,,,,,,,,,,,,,green,square
0.5,0,2.0,2.0,300.715923309,1.0,part_1,,,,,,,,,,,,,green,square
4.0,0,1.0,1.0,367.49887466399997,1.0,part_1,,,,,,,,,,,,,orange,line
0.5,0,4.0,4.0,368.04294586199995,1.0,part_1,,,,,,,,,,,,,green,square
1.0,1,4.0,4.0,334.467887878,1.0,part_1,,,,,,,,,,,,,white,cross
0.5,0,3.0,3.0,334.363937378,1.0,part_1,,,,,,,,,,,,,green,square
1.0,0,2.0,2.0,300.929069519,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
4.0,0,4.0,4.0,334.327936172,1.0,part_1,,,,,,,,,,,,,orange,line
4.0,0,4.0,4.0,350.435018539,1.0,part_1,,,,,,,,,,,,,orange,line
1.0,0,3.0,3.0,334.339141846,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
2.0,1,2.0,2.0,334.650039673,1.0,part_1,,,,,,,,,,,,,blue,diamond
0.5,1,2.0,2.0,384.413957596,1.0,part_1,,,,,,,,,,,,,yellow,circle
4.0,1,4.0,4.0,317.66986846900005,1.0,part_1,,,,,,,,,,,,,magenta,triangle
0.5,0,4.0,4.0,317.32797622699997,1.0,part_1,,,,,,,,,,,,,green,square
2.0,0,4.0,4.0,350.74090957600004,1.0,part_1,,,,,,,,,,,,,gray,hexagon
0.5,0,4.0,4.0,317.780971527,1.0,part_1,,,,,,,,,,,,,green,square
4.0,0,3.0,3.0,350.696086884,1.0,part_1,,,,,,,,,,,,,orange,line
2.0,1,3.0,3.0,350.82602500900003,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,1,3.0,3.0,317.635059357,1.0,part_1,,,,,,,,,,,,,blue,diamond
0.5,0,3.0,3.0,350.914001465,1.0,part_1,,,,,,,,,,,,,green,square
4.0,0,4.0,4.0,367.373943329,1.0,part_1,,,,,,,,,,,,,orange,line
0.5,1,2.0,2.0,384.30809974699997,1.0,part_1,,,,,,,,,,,,,yellow,circle
4.0,1,2.0,2.0,400.953054428,1.0,part_1,,,,,,,,,,,,,magenta,triangle
1.0,0,1.0,1.0,434.14115905799997,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
1.0,0,3.0,3.0,367.40016937300004,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
1.0,1,2.0,2.0,334.633827209,1.0,part_1,,,,,,,,,,,,,white,cross
0.5,0,2.0,2.0,417.41490364099997,1.0,part_1,,,,,,,,,,,,,green,square
4.0,0,3.0,3.0,351.075172424,1.0,part_1,,,,,,,,,,,,,orange,line
1.0,1,3.0,3.0,367.59614944500004,1.0,part_1,,,,,,,,,,,,,white,cross
2.0,0,1.0,1.0,400.583982468,1.0,part_1,,,,,,,,,,,,,gray,hexagon
2.0,1,4.0,4.0,367.609977722,1.0,part_1,,,,,,,,,,,,,blue,diamond
2.0,0,2.0,2.0,400.791883469,1.0,part_1,,,,,,,,,,,,,gray,hexagon
1.0,1,3.0,3.0,350.96001625099996,1.0,part_1,,,,,,,,,,,,,white,cross
2.0,0,2.0,2.0,333.646059036,1.0,part_1,,,,,,,,,,,,,gray,hexagon
4.0,0,2.0,2.0,350.480794907,1.0,part_1,,,,,,,,,,,,,orange,line
0.5,0,2.0,2.0,350.53300857500005,1.0,part_1,,,,,,,,,,,,,green,square
4.0,0,4.0,4.0,367.319107056,1.0,part_1,,,,,,,,,,,,,orange,line
4.0,0,2.0,2.0,351.402997971,1.0,part_1,,,,,,,,,,,,,orange,line
1.0,1,3.0,3.0,367.269039154,1.0,part_1,,,,,,,,,,,,,white,cross
2.0,1,1.0,1.0,367.554187775,1.0,part_1,,,,,,,,,,,,,blue,diamond
1.0,1,1.0,1.0,367.40088462800003,1.0,part_1,,,,,,,,,,,,,white,cross
1.0,0,1.0,1.0,351.146936417,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
4.0,1,3.0,3.0,367.30408668499996,1.0,part_1,,,,,,,,,,,,,magenta,triangle
4.0,1,1.0,1.0,351.06086731000005,1.0,part_1,,,,,,,,,,,,,magenta,triangle
1.0,1,4.0,4.0,384.269952774,1.0,part_1,,,,,,,,,,,,,white,cross
0.5,0,1.0,1.0,434.541940689,1.0,part_1,,,,,,,,,,,,,green,square
1.0,0,4.0,4.0,367.777109146,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
2.0,0,4.0,4.0,367.309093475,1.0,part_1,,,,,,,,,,,,,gray,hexagon
2.0,0,4.0,4.0,367.50316619899996,1.0,part_1,,,,,,,,,,,,,gray,hexagon
0.5,0,4.0,4.0,333.98580551099997,1.0,part_1,,,,,,,,,,,,,green,square
1.0,1,2.0,2.0,400.952100754,1.0,part_1,,,,,,,,,,,,,white,cross
0.5,1,1.0,1.0,384.150981903,1.0,part_1,,,,,,,,,,,,,yellow,circle
0.5,1,1.0,1.0,384.426116943,1.0,part_1,,,,,,,,,,,,,yellow,circle
0.5,1,4.0,4.0,384.255886078,1.0,part_1,,,,,,,,,,,,,yellow,circle
2.0,1,4.0,4.0,451.19905471799996,1.0,part_1,,,,,,,,,,,,,blue,diamond
0.5,1,3.0,3.0,417.373895645,1.0,part_1,,,,,,,,,,,,,yellow,circle
4.0,1,1.0,1.0,434.209108353,1.0,part_1,,,,,,,,,,,,,magenta,triangle
0.5,0,1.0,1.0,401.39484405499996,1.0,part_1,,,,,,,,,,,,,green,square
1.0,1,2.0,2.0,417.493104935,1.0,part_1,,,,,,,,,,,,,white,cross
1.0,0,3.0,3.0,417.56701469399997,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
1.0,0,3.0,3.0,400.86388588,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
0.5,0,3.0,3.0,401.292800903,1.0,part_1,,,,,,,,,,,,,green,square
4.0,0,1.0,1.0,400.783777237,1.0,part_1,,,,,,,,,,,,,orange,line
1.0,0,4.0,4.0,401.329040527,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
1.0,0,2.0,2.0,434.602975845,1.0,part_1,,,,,,,,,,,,,cyan,flipped triangle
2.0,1,3.0,3.0,367.588043213,1.0,part_1,,,,,,,,,,,,,blue,diamond
