raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
219.0,3.0,3.0,1,1.0,1.0,534.265995026,1.0,phase_1,,,,,,,,,,,,,orange,cross
0.0,6.0,0.0,1,2.0,2.0,433.953046799,1.0,phase_1,,,,,,,,,,,,,cyan,square
216.0,7.0,3.0,0,4.0,4.0,350.927829742,1.0,phase_1,,,,,,,,,,,,,yellow,circle
392.0,4.0,4.0,0,3.0,3.0,383.91709327700005,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
25.0,1.0,1.0,1,1.0,1.0,417.65213012699996,1.0,phase_1,,,,,,,,,,,,,blue,line
391.0,4.0,4.0,0,3.0,3.0,350.223064423,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
0.0,4.0,0.0,0,2.0,2.0,417.76299476599996,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
396.0,4.0,4.0,0,1.0,1.0,501.07598304699997,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
421.0,4.0,4.0,0,3.0,3.0,384.315013885,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
71.0,5.0,1.0,0,4.0,4.0,417.553901672,1.0,phase_1,,,,,,,,,,,,,gray,triangle
394.0,4.0,4.0,0,3.0,3.0,367.557048798,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
214.0,7.0,3.0,0,2.0,2.0,383.77904892,1.0,phase_1,,,,,,,,,,,,,yellow,circle
0.0,7.0,0.0,0,2.0,2.0,417.137861252,1.0,phase_1,,,,,,,,,,,,,yellow,circle
51.0,5.0,1.0,0,4.0,4.0,467.79012680100004,1.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,4.0,0.0,0,2.0,2.0,400.52914619399996,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
83.0,2.0,2.0,0,3.0,3.0,533.923864365,1.0,phase_1,,,,,,,,,,,,,white,hexagon
78.0,6.0,2.0,1,4.0,4.0,417.85192489599996,1.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,8.0,0.0,1,1.0,1.0,451.102018356,1.0,phase_1,,,,,,,,,,,,,green,diamond
72.0,1.0,1.0,1,2.0,2.0,400.688886642,1.0,phase_1,,,,,,,,,,,,,blue,line
75.0,5.0,1.0,0,1.0,1.0,401.76200866700003,1.0,phase_1,,,,,,,,,,,,,gray,triangle
412.0,8.0,4.0,1,2.0,2.0,450.46687126200004,1.0,phase_1,,,,,,,,,,,,,green,diamond
181.0,7.0,3.0,0,2.0,2.0,367.453098297,1.0,phase_1,,,,,,,,,,,,,yellow,circle
215.0,7.0,3.0,0,1.0,1.0,434.23700332600004,1.0,phase_1,,,,,,,,,,,,,yellow,circle
0.0,1.0,0.0,1,2.0,2.0,383.97598266600005,1.0,phase_1,,,,,,,,,,,,,blue,line
83.0,6.0,2.0,1,4.0,4.0,468.07217598,1.0,phase_1,,,,,,,,,,,,,cyan,square
190.0,3.0,3.0,1,3.0,3.0,400.950908661,1.0,phase_1,,,,,,,,,,,,,orange,cross
212.0,7.0,3.0,0,2.0,2.0,383.89897346500004,1.0,phase_1,,,,,,,,,,,,,yellow,circle
415.0,8.0,4.0,1,1.0,1.0,434.175014496,1.0,phase_1,,,,,,,,,,,,,green,diamond
115.0,2.0,2.0,0,4.0,4.0,417.49787330600003,1.0,phase_1,,,,,,,,,,,,,white,hexagon
124.0,6.0,2.0,1,2.0,2.0,317.879915237,1.0,phase_1,,,,,,,,,,,,,cyan,square
104.0,6.0,2.0,1,3.0,3.0,300.656080246,1.0,phase_1,,,,,,,,,,,,,cyan,square
83.0,6.0,2.0,1,4.0,4.0,434.678077698,1.0,phase_1,,,,,,,,,,,,,cyan,square
87.0,2.0,2.0,0,3.0,3.0,350.816965103,1.0,phase_1,,,,,,,,,,,,,white,hexagon
204.0,3.0,3.0,1,4.0,4.0,417.057991028,1.0,phase_1,,,,,,,,,,,,,orange,cross
40.0,1.0,1.0,1,3.0,3.0,417.150020599,1.0,phase_1,,,,,,,,,,,,,blue,line
190.0,3.0,3.0,1,4.0,4.0,384.59396362300004,1.0,phase_1,,,,,,,,,,,,,orange,cross
182.0,3.0,3.0,1,4.0,4.0,367.603063583,1.0,phase_1,,,,,,,,,,,,,orange,cross
399.0,4.0,4.0,0,3.0,3.0,367.341995239,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
83.0,6.0,2.0,1,1.0,1.0,334.203958511,1.0,phase_1,,,,,,,,,,,,,cyan,square
54.0,5.0,1.0,0,3.0,3.0,317.15798378,1.0,phase_1,,,,,,,,,,,,,gray,triangle
63.0,5.0,1.0,0,3.0,3.0,367.598056793,1.0,phase_1,,,,,,,,,,,,,gray,triangle
88.0,6.0,2.0,1,1.0,1.0,400.875091553,1.0,phase_1,,,,,,,,,,,,,cyan,square
39.0,1.0,1.0,1,4.0,4.0,350.65007209799995,1.0,phase_1,,,,,,,,,,,,,blue,line
0.0,1.0,0.0,1,1.0,1.0,400.687932968,1.0,phase_1,,,,,,,,,,,,,blue,line
175.0,7.0,3.0,0,3.0,3.0,317.528009415,1.0,phase_1,,,,,,,,,,,,,yellow,circle
114.0,6.0,2.0,1,4.0,4.0,417.45710372900004,1.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,5.0,0.0,0,3.0,3.0,351.131916046,1.0,phase_1,,,,,,,,,,,,,gray,triangle
64.0,1.0,1.0,1,2.0,2.0,384.365797043,1.0,phase_1,,,,,,,,,,,,,blue,line
0.0,5.0,0.0,0,1.0,1.0,384.154081345,1.0,phase_1,,,,,,,,,,,,,gray,triangle
75.0,2.0,2.0,0,4.0,4.0,351.09019279499995,1.0,phase_1,,,,,,,,,,,,,white,hexagon
0.0,1.0,0.0,1,3.0,3.0,350.40783882100004,1.0,phase_1,,,,,,,,,,,,,blue,line
0.0,3.0,0.0,1,2.0,2.0,401.318073273,1.0,phase_1,,,,,,,,,,,,,orange,cross
380.0,8.0,4.0,1,2.0,2.0,417.57392883299997,1.0,phase_1,,,,,,,,,,,,,green,diamond
0.0,4.0,0.0,0,3.0,3.0,284.546136856,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
394.0,8.0,4.0,1,4.0,4.0,383.80408287,1.0,phase_1,,,,,,,,,,,,,green,diamond
0.0,8.0,0.0,1,2.0,2.0,367.557048798,1.0,phase_1,,,,,,,,,,,,,green,diamond
73.0,5.0,1.0,0,1.0,1.0,351.09496116599996,1.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,8.0,0.0,1,4.0,4.0,417.660951614,1.0,phase_1,,,,,,,,,,,,,green,diamond
384.0,4.0,4.0,0,3.0,3.0,400.871992111,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
222.0,7.0,3.0,0,1.0,1.0,367.79212951700003,1.0,phase_1,,,,,,,,,,,,,yellow,circle
31.0,1.0,1.0,1,2.0,2.0,384.433984756,1.0,phase_1,,,,,,,,,,,,,blue,line
0.0,6.0,0.0,1,1.0,1.0,417.747020721,1.0,phase_1,,,,,,,,,,,,,cyan,square
384.0,4.0,4.0,0,2.0,2.0,417.620897293,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
182.0,7.0,3.0,0,1.0,1.0,351.037979126,1.0,phase_1,,,,,,,,,,,,,yellow,circle
125.0,2.0,2.0,0,4.0,4.0,333.95695686299996,1.0,phase_1,,,,,,,,,,,,,white,hexagon
109.0,6.0,2.0,1,1.0,1.0,367.338895798,1.0,phase_1,,,,,,,,,,,,,cyan,square
75.0,6.0,2.0,1,4.0,4.0,367.35606193499996,1.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,5.0,0.0,0,3.0,3.0,484.19213295000003,1.0,phase_1,,,,,,,,,,,,,gray,triangle
73.0,5.0,1.0,0,4.0,4.0,500.827074051,1.0,phase_1,,,,,,,,,,,,,gray,triangle
181.0,7.0,3.0,0,3.0,3.0,350.969076157,1.0,phase_1,,,,,,,,,,,,,yellow,circle
109.0,6.0,2.0,1,1.0,1.0,333.844900131,1.0,phase_1,,,,,,,,,,,,,cyan,square
0.0,3.0,0.0,1,3.0,3.0,400.984048843,1.0,phase_1,,,,,,,,,,,,,orange,cross
114.0,6.0,2.0,1,1.0,1.0,350.736856461,1.0,phase_1,,,,,,,,,,,,,cyan,square
114.0,6.0,2.0,1,2.0,2.0,384.45687294000004,1.0,phase_1,,,,,,,,,,,,,cyan,square
60.0,1.0,1.0,1,1.0,1.0,350.48985481299997,1.0,phase_1,,,,,,,,,,,,,blue,line
51.0,5.0,1.0,0,2.0,2.0,366.858005524,1.0,phase_1,,,,,,,,,,,,,gray,triangle
0.0,1.0,0.0,1,4.0,4.0,400.61211586,1.0,phase_1,,,,,,,,,,,,,blue,line
0.0,1.0,0.0,1,3.0,3.0,334.21206474300004,1.0,phase_1,,,,,,,,,,,,,blue,line
0.0,4.0,0.0,0,2.0,2.0,367.834091187,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
0.0,1.0,0.0,1,2.0,2.0,301.124811172,1.0,phase_1,,,,,,,,,,,,,blue,line
186.0,7.0,3.0,0,4.0,4.0,383.937835693,1.0,phase_1,,,,,,,,,,,,,yellow,circle
