raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,num_trial_presentations,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
0.0,2.0,0.0,0.0,1.0,1.0,407.1685555391013,1.0,1.0,part_1,,,,,,,,,,,,,yellow,hexagon
223.0,7.0,3.0,1.0,4.0,4.0,452.0504928659647,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
420.0,4.0,4.0,0.0,3.0,3.0,398.1305509805679,1.0,1.0,part_1,,,,,,,,,,,,,gray,flipped triangle
421.0,8.0,4.0,1.0,2.0,2.0,353.0326869804412,1.0,1.0,part_1,,,,,,,,,,,,,cyan,circle
46.0,5.0,1.0,1.0,1.0,1.0,420.175865991041,1.0,1.0,part_1,,,,,,,,,,,,,white,cross
0.0,3.0,0.0,0.0,3.0,3.0,387.4206943437457,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
398.0,4.0,4.0,0.0,1.0,1.0,377.0278501324355,1.0,1.0,part_1,,,,,,,,,,,,,gray,flipped triangle
0.0,4.0,0.0,0.0,2.0,2.0,355.7591622229665,1.0,1.0,part_1,,,,,,,,,,,,,gray,flipped triangle
398.0,8.0,4.0,1.0,4.0,4.0,334.0305113233626,1.0,1.0,part_1,,,,,,,,,,,,,cyan,circle
213.0,7.0,3.0,1.0,2.0,2.0,379.3319601099938,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
0.0,5.0,0.0,1.0,1.0,1.0,345.3891952522099,1.0,1.0,part_1,,,,,,,,,,,,,white,cross
215.0,3.0,3.0,0.0,4.0,4.0,300.3988629207015,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
0.0,7.0,0.0,1.0,4.0,4.0,393.1522089987993,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
180.0,3.0,3.0,0.0,1.0,1.0,312.8849400673061,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
0.0,6.0,0.0,1.0,3.0,3.0,336.068878415972,1.0,1.0,part_1,,,,,,,,,,,,,blue,I
0.0,4.0,0.0,0.0,4.0,4.0,371.3715528137982,1.0,1.0,part_1,,,,,,,,,,,,,gray,flipped triangle
35.0,1.0,1.0,0.0,1.0,1.0,316.4826876018196,1.0,1.0,part_1,,,,,,,,,,,,,green,triangle
197.0,7.0,3.0,1.0,3.0,3.0,325.4887093789875,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
215.0,3.0,3.0,0.0,2.0,2.0,315.4353208374232,1.0,1.0,part_1,,,,,,,,,,,,,magenta,square
42.0,5.0,1.0,1.0,2.0,2.0,361.1526284366846,1.0,1.0,part_1,,,,,,,,,,,,,white,cross
0.0,4.0,0.0,0.0,1.0,1.0,417.9490697570145,1.0,1.0,part_1,,,,,,,,,,,,,gray,flipped triangle
0.0,5.0,0.0,1.0,2.0,2.0,295.2160919085145,1.0,1.0,part_1,,,,,,,,,,,,,white,cross
110.0,2.0,2.0,0.0,4.0,4.0,329.2697803117335,1.0,1.0,part_1,,,,,,,,,,,,,yellow,hexagon
112.0,2.0,2.0,0.0,2.0,2.0,826.3548095710576,1.0,1.0,part_1,,,,,,,,,,,,,yellow,hexagon
38.0,1.0,1.0,0.0,2.0,2.0,353.4412861336022,1.0,1.0,part_1,,,,,,,,,,,,,green,triangle
0.0,7.0,0.0,1.0,3.0,3.0,341.9075084384531,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
417.0,4.0,4.0,0.0,3.0,3.0,332.239881856367,1.0,1.0,part_1,,,,,,,,,,,,,gray,flipped triangle
0.0,8.0,0.0,1.0,1.0,1.0,298.3399403747171,1.0,1.0,part_1,,,,,,,,,,,,,cyan,circle
0.0,2.0,0.0,0.0,3.0,3.0,343.762069940567,1.0,1.0,part_1,,,,,,,,,,,,,yellow,hexagon
95.0,2.0,2.0,0.0,1.0,1.0,299.2034289054572,1.0,1.0,part_1,,,,,,,,,,,,,yellow,hexagon
179.0,7.0,3.0,1.0,1.0,1.0,346.0955354385078,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
