raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,num_trial_presentations,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
0.0,5.0,0.0,1.0,1.0,1.0,474.3448890803847,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,triangle
77.0,2.0,1.0,0.0,1.0,1.0,507.9456210369244,1.0,1.0,phase_1,,,,,,,,,,,,,gray,diamond
55.0,5.0,0.5,1.0,3.0,3.0,620.7985836226726,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,triangle
60.0,1.0,0.5,0.0,4.0,4.0,485.5139035353204,1.0,1.0,phase_1,,,,,,,,,,,,,blue,hexagon
86.0,6.0,1.0,1.0,4.0,4.0,600.9202570421621,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
0.0,3.0,0.0,0.0,1.0,1.0,533.7864145694766,1.0,1.0,phase_1,,,,,,,,,,,,,orange,square
400.0,8.0,4.0,1.0,3.0,3.0,521.4837135426933,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
120.0,6.0,1.0,1.0,3.0,3.0,510.59470321342815,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
391.0,4.0,4.0,0.0,4.0,4.0,445.6669950159266,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
423.0,4.0,4.0,0.0,1.0,1.0,434.631289113895,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
50.0,1.0,0.5,0.0,1.0,1.0,670.3335315687582,1.0,1.0,phase_1,,,,,,,,,,,,,blue,hexagon
27.0,1.0,0.5,0.0,3.0,3.0,366.7837860266445,1.0,1.0,phase_1,,,,,,,,,,,,,blue,hexagon
396.0,4.0,4.0,0.0,2.0,2.0,513.9052280137548,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
75.0,5.0,0.5,1.0,3.0,3.0,435.9885260782903,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,triangle
98.0,6.0,1.0,1.0,2.0,2.0,471.5410475910175,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
416.0,4.0,4.0,0.0,2.0,2.0,427.284898571088,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
0.0,8.0,0.0,1.0,3.0,3.0,392.4822715343907,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,flipped triangle
64.0,1.0,0.5,0.0,3.0,3.0,426.0346086230129,1.0,1.0,phase_1,,,,,,,,,,,,,blue,hexagon
55.0,1.0,0.5,0.0,1.0,1.0,438.8610930473078,1.0,1.0,phase_1,,,,,,,,,,,,,blue,hexagon
200.0,7.0,2.0,1.0,2.0,2.0,472.9587890469702,1.0,1.0,phase_1,,,,,,,,,,,,,green,I
87.0,2.0,1.0,0.0,3.0,3.0,474.1649150237208,1.0,1.0,phase_1,,,,,,,,,,,,,gray,diamond
187.0,3.0,2.0,0.0,4.0,4.0,473.4883210476255,1.0,1.0,phase_1,,,,,,,,,,,,,orange,square
192.0,7.0,2.0,1.0,3.0,3.0,362.4390240292996,1.0,1.0,phase_1,,,,,,,,,,,,,green,I
125.0,2.0,1.0,0.0,4.0,4.0,385.3300455084536,1.0,1.0,phase_1,,,,,,,,,,,,,gray,diamond
63.0,1.0,0.5,0.0,3.0,3.0,430.1482456212397,1.0,1.0,phase_1,,,,,,,,,,,,,blue,hexagon
0.0,2.0,0.0,0.0,2.0,2.0,577.4733320431551,1.0,1.0,phase_1,,,,,,,,,,,,,gray,diamond
0.0,6.0,0.0,1.0,2.0,2.0,454.3709105346352,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
398.0,4.0,4.0,0.0,1.0,1.0,510.29564609052613,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
113.0,2.0,1.0,0.0,3.0,3.0,411.2433445116039,1.0,1.0,phase_1,,,,,,,,,,,,,gray,diamond
