raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,num_trial_presentations,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
420.0,8.0,4.0,1.0,4.0,4.0,408.8163920096122,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
420.0,8.0,4.0,1.0,3.0,3.0,405.7427299849223,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
54.0,5.0,0.5,1.0,1.0,1.0,400.5385269992985,1.0,2.0,phase_1,,,,,,,,,,,,,orange,diamond
105.0,6.0,1.0,1.0,1.0,1.0,406.1033749894704,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
53.0,5.0,0.5,1.0,3.0,3.0,361.6479499905836,1.0,1.0,phase_1,,,,,,,,,,,,,orange,diamond
0.0,2.0,0.0,0.0,3.0,3.0,381.5716230019461,1.0,1.0,phase_1,,,,,,,,,,,,,blue,cross
0.0,8.0,0.0,1.0,2.0,2.0,439.6083230094518,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
412.0,8.0,4.0,1.0,1.0,1.0,455.623337009456,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,flipped triangle
104.0,6.0,1.0,1.0,4.0,4.0,339.643907995196,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
34.0,5.0,0.5,1.0,3.0,3.0,335.7006949954666,1.0,1.0,phase_1,,,,,,,,,,,,,orange,diamond
182.0,7.0,2.0,1.0,4.0,4.0,422.921943012625,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
62.0,1.0,0.5,0.0,2.0,2.0,443.3626819809433,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
53.0,1.0,0.5,0.0,1.0,1.0,364.095686993096,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
105.0,2.0,1.0,0.0,3.0,3.0,353.4044560219627,1.0,1.0,phase_1,,,,,,,,,,,,,blue,cross
201.0,7.0,2.0,1.0,4.0,4.0,350.1016270020045,1.0,1.0,phase_1,,,,,,,,,,,,,green,triangle
31.0,1.0,0.5,0.0,1.0,1.0,356.3462250167504,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
117.0,6.0,1.0,1.0,4.0,4.0,327.0924009848386,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
392.0,4.0,4.0,0.0,2.0,2.0,417.2664099896792,1.0,2.0,phase_1,,,,,,,,,,,,,magenta,hexagon
418.0,4.0,4.0,0.0,1.0,1.0,357.9339790157974,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,hexagon
110.0,6.0,1.0,1.0,2.0,2.0,417.5146320194471,1.0,1.0,phase_1,,,,,,,,,,,,,white,square
