raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,num_trial_presentations,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
143.0,1.0,1.0,0.0,4.0,4.0,519.3793110083789,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
346.0,6.0,2.0,1.0,3.0,3.0,521.3083369890228,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
142.0,5.0,1.0,1.0,1.0,1.0,429.5283480023499,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
1319.0,8.0,4.0,1.0,2.0,2.0,458.1088240083772,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
160.0,1.0,1.0,0.0,2.0,2.0,438.1851840007584,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
311.0,2.0,2.0,0.0,3.0,3.0,326.2073240039171,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
350.0,2.0,2.0,0.0,3.0,3.0,464.3503450060962,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
1292.0,8.0,4.0,1.0,4.0,4.0,455.8920999988913,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
336.0,2.0,2.0,0.0,2.0,2.0,345.2239319885848,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
1294.0,8.0,4.0,1.0,2.0,2.0,418.5029369982658,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
631.0,7.0,3.0,1.0,1.0,1.0,482.8965979977511,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
149.0,5.0,1.0,1.0,3.0,3.0,373.0633140075952,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
159.0,5.0,1.0,1.0,3.0,3.0,428.4904849919257,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
1314.0,4.0,4.0,0.0,2.0,2.0,482.4757609894732,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
659.0,3.0,3.0,0.0,3.0,3.0,344.3747580022318,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
159.0,1.0,1.0,0.0,3.0,3.0,353.6719279945828,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
0.0,2.0,0.0,0.0,1.0,1.0,501.8655620078789,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
155.0,1.0,1.0,0.0,1.0,1.0,436.4406530075939,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
172.0,1.0,1.0,0.0,2.0,2.0,416.7341400025179,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
1280.0,8.0,4.0,1.0,2.0,2.0,399.3015989981359,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
331.0,2.0,2.0,0.0,3.0,3.0,335.1400149986148,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
626.0,7.0,3.0,1.0,2.0,2.0,289.3573600013042,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
629.0,3.0,3.0,0.0,1.0,1.0,519.0235079935519,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
641.0,7.0,3.0,1.0,1.0,1.0,437.0655730017461,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
638.0,3.0,3.0,0.0,3.0,3.0,380.3861449996475,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
305.0,6.0,2.0,1.0,3.0,3.0,390.3978439921047,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
0.0,6.0,0.0,1.0,1.0,1.0,529.4902749883477,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
659.0,3.0,3.0,0.0,1.0,1.0,436.9811229989864,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
142.0,1.0,1.0,0.0,2.0,2.0,389.628465010901,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
154.0,1.0,1.0,0.0,2.0,2.0,344.1467319935327,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
0.0,1.0,0.0,0.0,2.0,2.0,296.7278140131384,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
166.0,1.0,1.0,0.0,2.0,2.0,342.2734019986819,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
663.0,7.0,3.0,1.0,4.0,4.0,455.386745990836,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
346.0,2.0,2.0,0.0,3.0,3.0,372.3341610020725,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
0.0,4.0,0.0,0.0,1.0,1.0,537.8589309984818,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
649.0,7.0,3.0,1.0,4.0,4.0,399.0738459979184,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
331.0,6.0,2.0,1.0,2.0,2.0,352.4479070038069,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
347.0,2.0,2.0,0.0,2.0,2.0,362.4923109891824,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
149.0,5.0,1.0,1.0,3.0,3.0,316.6658570116851,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
155.0,5.0,1.0,1.0,2.0,2.0,343.2171160093276,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
1300.0,8.0,4.0,1.0,2.0,2.0,343.2752249937039,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
1314.0,8.0,4.0,1.0,1.0,1.0,380.2294280030764,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
171.0,1.0,1.0,0.0,3.0,3.0,417.4144139979034,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
1295.0,8.0,4.0,1.0,4.0,4.0,436.2417230004212,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
157.0,5.0,1.0,1.0,1.0,1.0,362.1659950003959,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
347.0,6.0,2.0,1.0,2.0,2.0,316.3531339960173,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
320.0,2.0,2.0,0.0,1.0,1.0,371.6345980064943,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
663.0,3.0,3.0,0.0,3.0,3.0,352.1614460041746,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
667.0,3.0,3.0,0.0,2.0,2.0,353.0963009980041,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
664.0,7.0,3.0,1.0,2.0,2.0,342.9241670091869,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
641.0,3.0,3.0,0.0,3.0,3.0,316.8171290017199,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
0.0,5.0,0.0,1.0,3.0,3.0,324.21564499964,1.0,2.0,part_1,,,,,,,,,,,,,green,flipped triangle
1283.0,8.0,4.0,1.0,4.0,4.0,586.7156780004734,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
1314.0,8.0,4.0,1.0,3.0,3.0,352.8740829933667,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
340.0,6.0,2.0,1.0,4.0,4.0,430.5677430093055,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
326.0,2.0,2.0,0.0,3.0,3.0,380.8357090019854,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
630.0,7.0,3.0,1.0,2.0,2.0,391.2104230112163,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
166.0,1.0,1.0,0.0,3.0,3.0,305.913247007993,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
319.0,2.0,2.0,0.0,2.0,2.0,426.6855850000866,1.0,2.0,part_1,,,,,,,,,,,,,blue,cross
644.0,3.0,3.0,0.0,2.0,2.0,603.0231299955631,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
0.0,7.0,0.0,1.0,4.0,4.0,427.7843559975736,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
0.0,2.0,0.0,0.0,4.0,4.0,456.6062249941751,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
652.0,7.0,3.0,1.0,1.0,1.0,614.4553240010282,1.0,2.0,part_1,,,,,,,,,,,,,magenta,hexagon
0.0,1.0,0.0,0.0,4.0,4.0,474.7304909978993,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
158.0,1.0,1.0,0.0,4.0,4.0,446.5644429874373,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
0.0,5.0,0.0,1.0,2.0,2.0,399.6392720000585,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
328.0,2.0,2.0,0.0,1.0,1.0,472.9316589946393,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
1301.0,4.0,4.0,0.0,3.0,3.0,372.7878749923548,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
138.0,5.0,1.0,1.0,2.0,2.0,391.0171699972125,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
0.0,3.0,0.0,0.0,1.0,1.0,483.0488839943427,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
166.0,5.0,1.0,1.0,4.0,4.0,426.4981269952841,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
645.0,7.0,3.0,1.0,3.0,3.0,389.8689869965892,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
0.0,6.0,0.0,1.0,1.0,1.0,464.1062430018792,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
1315.0,4.0,4.0,0.0,1.0,1.0,473.7356880068546,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
1286.0,8.0,4.0,1.0,4.0,4.0,435.937043002923,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
669.0,7.0,3.0,1.0,4.0,4.0,473.1248850002885,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
143.0,1.0,1.0,0.0,1.0,1.0,426.6928249999182,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
340.0,6.0,2.0,1.0,3.0,3.0,353.0440629983786,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
0.0,7.0,0.0,1.0,4.0,4.0,408.9926060114521,1.0,1.0,part_1,,,,,,,,,,,,,magenta,hexagon
1315.0,8.0,4.0,1.0,1.0,1.0,547.4249180115294,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
317.0,6.0,2.0,1.0,4.0,4.0,511.42459800757933,1.0,1.0,part_1,,,,,,,,,,,,,cyan,I
645.0,3.0,3.0,0.0,4.0,4.0,465.0398520025192,1.0,1.0,part_1,,,,,,,,,,,,,white,triangle
1292.0,8.0,4.0,1.0,1.0,1.0,511.75146699824836,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
152.0,5.0,1.0,1.0,4.0,4.0,390.2464150014566,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
1324.0,4.0,4.0,0.0,4.0,4.0,511.60435599740595,1.0,1.0,part_1,,,,,,,,,,,,,gray,circle
155.0,1.0,1.0,0.0,1.0,1.0,611.6400390019407,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
184.0,1.0,1.0,0.0,4.0,4.0,362.3022020037751,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
