raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,num_trial_presentations,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
0.0,4.0,0.0,0.0,4.0,4.0,513.8289300002725,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
340.0,2.0,1.0,0.0,3.0,3.0,438.1300390000433,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,diamond
320.0,6.0,1.0,1.0,1.0,1.0,474.2925169998671,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
650.0,3.0,2.0,0.0,2.0,2.0,539.8050970002259,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
312.0,6.0,1.0,1.0,3.0,3.0,438.5814120000759,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
631.0,7.0,2.0,1.0,4.0,4.0,475.6469249996371,1.0,1.0,phase_1,,,,,,,,,,,,,blue,triangle
324.0,2.0,1.0,0.0,1.0,1.0,391.2333409998609,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,diamond
0.0,1.0,0.0,0.0,3.0,3.0,326.3022890000684,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,square
0.0,8.0,0.0,1.0,2.0,2.0,446.83210999983197,1.0,1.0,phase_1,,,,,,,,,,,,,orange,flipped triangle
1285.0,8.0,4.0,1.0,4.0,4.0,475.8658300002025,1.0,1.0,phase_1,,,,,,,,,,,,,orange,flipped triangle
0.0,6.0,0.0,1.0,3.0,3.0,438.0732280001211,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
666.0,3.0,2.0,0.0,1.0,1.0,345.3228890002719,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
0.0,8.0,0.0,1.0,2.0,2.0,335.4901020002216,1.0,1.0,phase_1,,,,,,,,,,,,,orange,flipped triangle
330.0,6.0,1.0,1.0,2.0,2.0,390.3868820002572,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
641.0,7.0,2.0,1.0,1.0,1.0,326.061005000156,1.0,1.0,phase_1,,,,,,,,,,,,,blue,triangle
1318.0,8.0,4.0,1.0,1.0,1.0,317.1729550003874,1.0,1.0,phase_1,,,,,,,,,,,,,orange,flipped triangle
672.0,7.0,2.0,1.0,1.0,1.0,282.2817960000066,1.0,1.0,phase_1,,,,,,,,,,,,,blue,triangle
0.0,5.0,0.0,1.0,4.0,4.0,355.6976100003339,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
0.0,5.0,0.0,1.0,3.0,3.0,362.4714890001996,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
307.0,6.0,1.0,1.0,1.0,1.0,356.1136240000451,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
0.0,6.0,0.0,1.0,4.0,4.0,307.0889660002649,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
169.0,1.0,0.5,0.0,4.0,4.0,337.9407570000694,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,square
649.0,3.0,2.0,0.0,2.0,2.0,355.8667269999205,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
170.0,1.0,0.5,0.0,2.0,2.0,336.1671799998476,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,square
151.0,1.0,0.5,0.0,4.0,4.0,338.4693779998997,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,square
1320.0,4.0,4.0,0.0,4.0,4.0,327.5125400000434,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
0.0,4.0,0.0,0.0,1.0,1.0,374.5351829998071,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
316.0,6.0,1.0,1.0,3.0,3.0,270.9017600000152,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
158.0,5.0,0.5,1.0,3.0,3.0,337.321174000408,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
1283.0,8.0,4.0,1.0,2.0,2.0,412.277111000094,1.0,1.0,phase_1,,,,,,,,,,,,,orange,flipped triangle
1313.0,4.0,4.0,0.0,2.0,2.0,337.9192239999611,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
0.0,7.0,0.0,1.0,2.0,2.0,280.9057340000436,1.0,1.0,phase_1,,,,,,,,,,,,,blue,triangle
306.0,2.0,1.0,0.0,4.0,4.0,328.1898079999337,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,diamond
1285.0,4.0,4.0,0.0,1.0,1.0,336.8708049997622,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
0.0,3.0,0.0,0.0,3.0,3.0,373.4900910003489,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
1276.0,8.0,4.0,1.0,1.0,1.0,448.710206999749,1.0,1.0,phase_1,,,,,,,,,,,,,orange,flipped triangle
669.0,3.0,2.0,0.0,3.0,3.0,448.8775519998853,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
0.0,2.0,0.0,0.0,2.0,2.0,290.7093809999423,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,diamond
1302.0,4.0,4.0,0.0,1.0,1.0,421.998750000057,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
348.0,2.0,1.0,0.0,4.0,4.0,280.5127060000814,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,diamond
174.0,1.0,0.5,0.0,2.0,2.0,364.5823589999963,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,square
652.0,7.0,2.0,1.0,2.0,2.0,327.7562390003368,1.0,1.0,phase_1,,,,,,,,,,,,,blue,triangle
634.0,7.0,2.0,1.0,2.0,2.0,298.8575150002361,1.0,1.0,phase_1,,,,,,,,,,,,,blue,triangle
349.0,6.0,1.0,1.0,2.0,2.0,281.0728049998943,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
178.0,5.0,0.5,1.0,2.0,2.0,449.4800839997879,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
0.0,8.0,0.0,1.0,2.0,2.0,309.2551419999836,1.0,1.0,phase_1,,,,,,,,,,,,,orange,flipped triangle
1317.0,4.0,4.0,0.0,3.0,3.0,345.9699479999472,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
0.0,2.0,0.0,0.0,1.0,1.0,308.6422169999423,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,diamond
327.0,2.0,1.0,0.0,2.0,2.0,354.7633099997256,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,diamond
151.0,5.0,0.5,1.0,2.0,2.0,309.4872510000641,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
1308.0,8.0,4.0,1.0,4.0,4.0,448.2688220000455,1.0,1.0,phase_1,,,,,,,,,,,,,orange,flipped triangle
0.0,8.0,0.0,1.0,1.0,1.0,326.066394999998,1.0,1.0,phase_1,,,,,,,,,,,,,orange,flipped triangle
170.0,5.0,0.5,1.0,4.0,4.0,337.676010999985,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
176.0,1.0,0.5,0.0,1.0,1.0,346.4264499998535,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,square
145.0,5.0,0.5,1.0,1.0,1.0,298.7566900001184,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,circle
326.0,6.0,1.0,1.0,3.0,3.0,337.3993969998992,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
1318.0,4.0,4.0,0.0,3.0,3.0,308.5029230001055,1.0,1.0,phase_1,,,,,,,,,,,,,white,cross
337.0,6.0,1.0,1.0,3.0,3.0,318.6807199999748,1.0,1.0,phase_1,,,,,,,,,,,,,green,hexagon
0.0,1.0,0.0,0.0,3.0,3.0,290.451929000028,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,square
646.0,7.0,2.0,1.0,2.0,2.0,392.3705520001022,1.0,1.0,phase_1,,,,,,,,,,,,,blue,triangle
672.0,3.0,2.0,0.0,1.0,1.0,355.6627930001923,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
