raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,stim_location,response,reaction_time,block,num_trial_presentations,which_phase,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
396.0,8.0,4.0,1.0,4.0,4.0,334.6122039999955,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,square
60.0,5.0,0.5,1.0,2.0,2.0,304.750747000071,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
416.0,4.0,4.0,0.0,4.0,4.0,375.1798160001272,1.0,1.0,phase_1,,,,,,,,,,,,,white,hexagon
0.0,5.0,0.0,1.0,2.0,2.0,331.0911780001788,1.0,2.0,phase_1,,,,,,,,,,,,,blue,diamond
0.0,7.0,0.0,1.0,1.0,1.0,300.7654440000351,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
112.0,2.0,1.0,0.0,3.0,3.0,290.9644730000309,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
63.0,5.0,0.5,1.0,1.0,1.0,286.350726999899,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
35.0,1.0,0.5,0.0,1.0,1.0,275.5680049999682,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,triangle
195.0,7.0,2.0,1.0,3.0,3.0,283.9810759999182,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
0.0,6.0,0.0,1.0,1.0,1.0,243.1629970001267,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
0.0,3.0,0.0,0.0,1.0,1.0,273.7748780000402,1.0,1.0,phase_1,,,,,,,,,,,,,orange,circle
114.0,2.0,1.0,0.0,1.0,1.0,304.198499999984,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
400.0,8.0,4.0,1.0,2.0,2.0,279.2535349999525,1.0,1.0,phase_1,,,,,,,,,,,,,magenta,square
0.0,3.0,0.0,0.0,1.0,1.0,273.8960049998695,1.0,1.0,phase_1,,,,,,,,,,,,,orange,circle
176.0,3.0,2.0,0.0,3.0,3.0,284.9378250000427,1.0,1.0,phase_1,,,,,,,,,,,,,orange,circle
0.0,3.0,0.0,0.0,1.0,1.0,272.0442620000085,1.0,1.0,phase_1,,,,,,,,,,,,,orange,circle
0.0,5.0,0.0,1.0,1.0,1.0,269.173296999952,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
201.0,3.0,2.0,0.0,4.0,4.0,309.2405069999131,1.0,1.0,phase_1,,,,,,,,,,,,,orange,circle
0.0,2.0,0.0,0.0,2.0,2.0,229.5751009999094,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
215.0,7.0,2.0,1.0,2.0,2.0,301.9017099998109,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
197.0,7.0,2.0,1.0,2.0,2.0,248.13058299992,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
118.0,2.0,1.0,0.0,3.0,3.0,295.697225999902,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
409.0,4.0,4.0,0.0,2.0,2.0,261.5495519999058,1.0,1.0,phase_1,,,,,,,,,,,,,white,hexagon
0.0,5.0,0.0,1.0,1.0,1.0,269.3957609999415,1.0,1.0,phase_1,,,,,,,,,,,,,blue,diamond
0.0,1.0,0.0,0.0,2.0,2.0,280.6748020000214,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,triangle
83.0,6.0,1.0,1.0,3.0,3.0,249.9618500000906,1.0,1.0,phase_1,,,,,,,,,,,,,cyan,cross
0.0,7.0,0.0,1.0,2.0,2.0,245.5613770000582,1.0,1.0,phase_1,,,,,,,,,,,,,green,flipped triangle
0.0,3.0,0.0,0.0,2.0,2.0,293.7331260000064,1.0,2.0,phase_1,,,,,,,,,,,,,orange,circle
386.0,4.0,4.0,0.0,2.0,2.0,379.9359189999904,1.0,2.0,phase_1,,,,,,,,,,,,,white,hexagon
0.0,2.0,0.0,0.0,3.0,3.0,368.1073599998399,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
0.0,1.0,0.0,0.0,2.0,2.0,339.9421990000064,1.0,1.0,phase_1,,,,,,,,,,,,,yellow,triangle
206.0,3.0,2.0,0.0,2.0,2.0,367.3232399999051,1.0,1.0,phase_1,,,,,,,,,,,,,orange,circle
0.0,2.0,0.0,0.0,3.0,3.0,388.3293540000068,1.0,1.0,phase_1,,,,,,,,,,,,,gray,I
