raw_reward_magnitude,stim_reward,stepwise_reward_magnitude,paired_with_stopping,quadrant,response,reaction_time,block,num_trial_presentations,which_part,stop_signal_trial_type,left_SSD,right_SSD,accuracy,chosen_bidding_amount,chosen_bidding_level,possible_bid_1,possible_bid_2,possible_bid_3,possible_bid_4,possible_bid_5,possible_bid_6,color_text,shape_text
381.0,4.0,4.0,0.0,1.0,1.0,293.9341709998189,1.0,1.0,part_1,,,,,,,,,,,,,magenta,circle
53.0,5.0,1.0,1.0,4.0,4.0,314.4712930002242,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
86.0,6.0,2.0,1.0,3.0,3.0,249.7135969997543,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
92.0,2.0,2.0,0.0,4.0,4.0,258.0725679999887,1.0,1.0,part_1,,,,,,,,,,,,,gray,hexagon
48.0,1.0,1.0,0.0,3.0,3.0,261.0257139999703,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
105.0,6.0,2.0,1.0,2.0,2.0,258.0572859997119,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
415.0,4.0,4.0,0.0,4.0,4.0,269.8319000000992,1.0,1.0,part_1,,,,,,,,,,,,,magenta,circle
222.0,7.0,3.0,1.0,1.0,1.0,279.9360750000232,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
225.0,7.0,3.0,1.0,3.0,3.0,274.4268870001178,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
59.0,5.0,1.0,1.0,3.0,3.0,245.3327989996978,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
184.0,3.0,3.0,0.0,2.0,2.0,277.1449890001349,1.0,1.0,part_1,,,,,,,,,,,,,cyan,triangle
0.0,8.0,0.0,1.0,3.0,3.0,275.1467600000978,1.0,1.0,part_1,,,,,,,,,,,,,white,I
118.0,6.0,2.0,1.0,3.0,3.0,255.28522000013248,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
183.0,7.0,3.0,1.0,2.0,2.0,230.7921639999222,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
0.0,2.0,0.0,0.0,4.0,4.0,278.7436730000081,1.0,1.0,part_1,,,,,,,,,,,,,gray,hexagon
0.0,5.0,0.0,1.0,4.0,4.0,275.9163789996819,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
28.0,5.0,1.0,1.0,1.0,1.0,302.3166420002781,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
0.0,5.0,0.0,1.0,4.0,4.0,270.5664549998801,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
28.0,1.0,1.0,0.0,1.0,1.0,279.2762660001244,1.0,2.0,part_1,,,,,,,,,,,,,green,flipped triangle
39.0,5.0,1.0,1.0,3.0,3.0,269.2735590003394,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
389.0,8.0,4.0,1.0,4.0,4.0,318.7468310002259,1.0,1.0,part_1,,,,,,,,,,,,,white,I
209.0,3.0,3.0,0.0,3.0,3.0,289.2500130001281,1.0,1.0,part_1,,,,,,,,,,,,,cyan,triangle
0.0,7.0,0.0,1.0,2.0,2.0,246.4805619997605,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
388.0,8.0,4.0,1.0,1.0,1.0,288.3849150002788,1.0,1.0,part_1,,,,,,,,,,,,,white,I
181.0,7.0,3.0,1.0,4.0,4.0,263.5084069997901,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
69.0,5.0,1.0,1.0,2.0,2.0,280.3982509999514,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
377.0,4.0,4.0,0.0,3.0,3.0,265.06044400002787,1.0,1.0,part_1,,,,,,,,,,,,,magenta,circle
0.0,4.0,0.0,0.0,1.0,1.0,265.3996009998991,1.0,1.0,part_1,,,,,,,,,,,,,magenta,circle
45.0,1.0,1.0,0.0,2.0,2.0,286.5675680000095,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
69.0,1.0,1.0,0.0,3.0,3.0,247.9038510000464,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
65.0,1.0,1.0,0.0,4.0,4.0,384.6231669999724,1.0,2.0,part_1,,,,,,,,,,,,,green,flipped triangle
31.0,5.0,1.0,1.0,3.0,3.0,274.5835900000202,1.0,1.0,part_1,,,,,,,,,,,,,yellow,square
31.0,1.0,1.0,0.0,4.0,4.0,260.322793999876,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
183.0,7.0,3.0,1.0,2.0,2.0,361.8660239999371,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
183.0,7.0,3.0,1.0,2.0,2.0,274.6146499998758,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
125.0,6.0,2.0,1.0,3.0,3.0,257.2496750003665,1.0,1.0,part_1,,,,,,,,,,,,,blue,cross
206.0,7.0,3.0,1.0,3.0,3.0,265.4142110000066,1.0,1.0,part_1,,,,,,,,,,,,,orange,diamond
75.0,2.0,2.0,0.0,3.0,3.0,278.0627629999799,1.0,1.0,part_1,,,,,,,,,,,,,gray,hexagon
400.0,4.0,4.0,0.0,3.0,3.0,270.3987390000293,1.0,1.0,part_1,,,,,,,,,,,,,magenta,circle
0.0,3.0,0.0,0.0,3.0,3.0,266.5658920000169,1.0,1.0,part_1,,,,,,,,,,,,,cyan,triangle
74.0,1.0,1.0,0.0,3.0,3.0,246.6806469997209,1.0,1.0,part_1,,,,,,,,,,,,,green,flipped triangle
377.0,4.0,4.0,0.0,1.0,1.0,338.2771940000566,1.0,1.0,part_1,,,,,,,,,,,,,magenta,circle
0.0,4.0,0.0,0.0,3.0,3.0,247.2607589998006,1.0,1.0,part_1,,,,,,,,,,,,,magenta,circle
